,City,Country,Latitude,Longitude,Temperature,Humidity,Cloud,Wind
411,Disna,BY,55.568,28.1971,31.68,75,9,8.48
412,Tateyama,JP,34.9833,139.8667,63.01,75,100,14.27
413,Odesa,UA,46.4775,30.7326,37.33,81,75,11.18
414,Sinjai,ID,-5.1241,120.253,83.26,72,86,1.36
415,Te Anau,NZ,-45.4167,167.7167,43.23,94,100,6.98
416,Saint-Joseph,RE,-21.3667,55.6167,81.59,72,32,2.46
417,Caucaia,BR,-3.7361,-38.6531,80.29,74,20,13.8
418,Sankt Valentin,AT,48.1667,14.5167,41.58,78,84,2.62
419,Egvekinot,RU,66.3167,-179.1667,6.67,90,100,7.18
420,Departamento de Maldonado,UY,-34.6667,-54.9167,63.79,99,100,3.29
421,Malabo,GQ,3.75,8.7833,78.66,89,40,2.3
422,Polson,US,47.6936,-114.1632,40.68,49,49,13.0
423,Kutum,SD,14.2,24.6667,75.96,20,2,8.23
424,Beira,MZ,-19.8436,34.8389,87.1,58,20,13.0
425,Bilibino,RU,68.0546,166.4372,10.27,93,100,3.83
426,Kedrovyy,RU,56.1667,91.8167,19.81,91,100,7.23
427,Sitka,US,57.0531,-135.33,35.49,75,90,6.91
428,Huandacareo,MX,19.9833,-101.2833,49.6,54,38,0.63
429,Paysandu,UY,-32.3214,-58.0756,72.61,73,100,6.31
430,Sayyan,YE,15.1718,44.3244,66.6,20,0,2.46
431,Agirish,RU,61.9247,63.0231,17.78,90,100,11.03
432,Saint Anthony,US,45.0205,-93.218,30.29,78,75,3.0
433,Saint-Augustin,CA,51.226,-58.6502,37.33,97,100,24.29
434,Marmaris,TR,36.855,28.2742,65.93,35,49,2.15
435,Watrous,CA,51.6668,-105.4679,33.58,100,100,11.5
436,Dingle,PH,10.9995,122.6711,83.14,82,28,9.66
437,Klaksvík,FO,62.2266,-6.589,49.12,94,100,38.83
438,Boa Vista,BR,2.8197,-60.6733,78.78,73,0,11.5
439,Timmins,CA,48.4669,-81.3331,22.82,80,75,5.75
440,Province of Brindisi,IT,40.5833,17.6667,63.12,85,100,16.78
441,Turaif,SA,31.6725,38.6637,61.05,55,0,4.61
442,Geraldton,AU,-28.7667,114.6,73.81,46,40,16.11
443,Provideniya,RU,64.3833,-173.3,16.27,90,95,9.31
444,Ndélé,CF,8.4109,20.6473,87.28,37,99,2.68
445,Solnechnyy,RU,50.7214,136.6319,11.01,93,24,3.49
446,Big Bend,SZ,-26.8167,31.9333,86.09,62,43,8.05
447,Shīeli,KZ,44.1667,66.75,46.11,52,100,6.08
448,Cururupu,BR,-1.8283,-44.8683,76.64,88,78,4.5
449,Jumla,NP,29.2747,82.1838,61.72,20,0,6.55
450,Jacareacanga,BR,-6.2222,-57.7528,72.52,94,100,1.19
451,Zavallya,UA,48.2135,30.0156,34.25,59,5,8.61
452,Kifrī,IQ,34.6959,44.9661,73.44,18,90,9.48
453,Dinga,PK,32.6398,73.722,77.11,18,5,4.03
454,Nānākuli,US,21.3906,-158.1547,75.0,78,100,4.41
455,Antiguo Morelos,MX,22.5495,-99.0812,64.09,91,73,1.88
456,Wysokie Mazowieckie,PL,52.9166,22.5171,37.0,81,0,10.07
457,Derzhavīnsk,KZ,51.1,66.3167,18.59,85,98,7.61
458,Ulety,RU,51.3572,112.4849,30.6,50,100,4.07
459,Tsiroanomandidy,MG,-18.7667,46.0333,88.68,34,69,1.99
460,Bandar,ID,2.05,99.75,91.71,48,72,3.38
461,Zambezi,ZM,-13.5432,23.1047,84.0,41,65,6.91
462,Nikki,BJ,9.9401,3.2108,82.99,32,80,2.91
463,Shakiso,ET,5.75,38.9167,77.04,41,93,5.93
464,Khorramshahr,IR,30.4397,48.1664,73.36,35,40,9.22
465,Camacha,PT,33.0833,-16.3333,63.81,59,40,9.22
466,San Francisco,US,37.7749,-122.4194,54.72,93,90,1.99
467,Ipixuna,BR,-1.7625,-48.8043,75.15,98,44,3.0
468,Rio Grande,BR,-32.035,-52.0986,67.95,92,64,9.93
469,Nampula,MZ,-15.1165,39.2666,85.95,48,0,3.44
470,São João da Barra,BR,-21.6403,-41.0511,69.01,83,60,8.57
471,Portobelo,PA,9.55,-79.65,75.33,85,27,7.92
472,Inzer,RU,54.2167,57.5556,18.23,77,89,2.93
473,Brigantine,US,39.4101,-74.3646,36.43,75,3,16.4
474,Ibrā’,OM,22.6906,58.5334,83.86,21,2,4.94
475,Bambuí,BR,-20.0064,-45.9769,61.61,91,77,2.33
476,Severnyy,RU,50.677,36.5532,30.24,64,0,4.47
477,Kuvshinovo,RU,57.0295,34.1725,29.8,67,14,12.48
478,Dehlorān,IR,32.6941,47.2679,71.1,27,100,2.17
479,Durban,ZA,-29.8579,31.0292,75.02,76,53,14.0
480,Ulladulla,AU,-35.35,150.4667,60.96,61,22,7.02
481,Kalabo,ZM,-14.97,22.6814,86.83,37,82,7.67
482,Sechura,PE,-5.5569,-80.8222,63.32,84,92,10.09
483,Bambanglipuro,ID,-7.95,110.2833,64.6,76,98,6.55
484,High Level,CA,58.5169,-117.136,14.23,92,100,5.08
485,Lompoc,US,34.6391,-120.4579,52.14,100,90,5.75
486,Noril'sk,RU,69.3535,88.2027,1.71,93,100,8.59
487,Layou,VC,13.2,-61.2667,77.77,74,93,15.73
488,Oleksandrivka,UA,48.9634,32.2349,33.24,53,7,8.99
489,Wajima,JP,37.4,136.9,53.82,62,29,9.15
490,Olafsvik,IS,64.8945,-23.7142,39.69,78,90,15.75
491,Jaruco,CU,23.0431,-82.0108,72.32,80,100,14.65
492,Kayerkan,RU,69.3497,87.7602,-0.44,93,100,6.98
493,Linares,CL,-35.85,-71.6,39.9,79,0,4.68
494,Puerto Carreño,CO,6.189,-67.4859,76.08,73,99,10.2
495,Nanyamba,TZ,-10.6833,39.8333,93.09,32,2,7.07
496,Bulgan,MN,48.8125,103.5347,35.35,33,76,15.88
497,Yen Bai,VN,21.7,104.8667,68.81,93,99,2.06
498,Urusha,RU,54.05,122.9,18.97,67,6,1.99
499,Lysyye Gory,RU,51.5506,44.8414,28.24,59,18,7.52
500,Terrace,CA,54.5163,-128.6035,30.11,100,75,3.44
501,Perth,AU,-31.9333,115.8333,73.72,58,20,16.11
